DateTime,AddedIPs,RemovedIPs
1588905377,36,16
1588907324,9,13
1588909254,13,15
1588911145,12,17
1588913083,9,65
1588915015,12,12
1588916900,15,6
1588918877,16,34
1588920792,10,8
1588922681,9,10
1588924597,11,2
1588926531,9,4
1588928670,4,6
1588930593,1,1
1588932508,1,8
1588934443,10,36
1588936349,11,9
1588938272,9,14
1588940184,16,3
1588942352,16,8
1588944285,14,10
1588946190,6,7
1588948098,10,7
1588950195,13,2
1588952175,11,4
1588954104,14,6
1588956013,11,5
1588957935,15,9
1588959867,14,7
1588962016,21,30
1588963937,13,23
1588965866,6,19
1588967772,11,25
1588969696,55,19
1588972810,13,21
1588974750,3,12
1588976663,8,4
1588978569,5,2
1588980516,7,3
1588982549,10,3
1588984585,2,2
1588986505,2,4
1588988413,2,3
1588990355,5,57
1588992264,1,18
1588994181,1,18
1588996136,1,19
1588998017,3,18
1588999938,1,11
1589001866,2,5
1589003780,2,2
1589005698,3,39
1589007822,5,17
1589009784,2,14
1589011709,6,20
1589013683,8,12
1589015581,1,3
1589017460,3,2
1589019623,28,2
1589021537,9,16
1589023476,3,12
1589025378,6,12
1589027293,5,8
1589029411,6,14
1589031429,7,6
1589033318,7,32
1589035217,2,24
1589037149,0,18
1589039062,2,19
1589040976,0,17
1589042911,2,28
1589045093,3,10
1589046984,0,2
1589048917,18,88
1589051097,9,33
1589052978,31,26
1589054912,36,30
1589056823,42,56
1589058738,37,18
1589060675,30,5
1589062603,11,11
1589064500,11,9
1589066445,10,6
1589068341,5,7
1589070262,7,6
1589072189,10,4
1589074141,8,2
1589076416,17,2
1589078311,43,2
1589080127,21,1
1589082025,23,0
1589083940,16,3
1589085875,24,2
1589087797,16,1
1589089699,21,0
1589091627,16,2
1589093591,21,2
1589095474,10,4
1589097423,17,5
1589099312,14,5
1589101381,15,5
1589103348,14,3
1589105567,14,17
1589107472,5,11
1589109423,6,4
1589111395,4,6
1589113248,2,6
1589115146,2,6
1589117124,8,6
1589118984,2,8
1589120905,42,2
1589122980,24,0
1589125159,27,2
1589127153,11,1
1589129106,11,1
1589130977,13,3
1589132904,6,0
1589135057,12,14
1589136974,10,8
1589138908,16,9
1589141037,16,11
1589142978,16,7
1589144905,17,16
1589146863,16,9
1589148760,8,9
1589150661,4,3
1589152575,3,3
1589154511,8,4
1589156435,13,4
1589158342,10,3
1589160272,9,2
1589162176,3,1
1589164124,9,16
1589166230,8,15
1589168191,7,9
1589170353,7,10
1589172259,10,14
1589174208,21,8
1589176107,11,5
1589178024,2,15
1589179937,4,13
1589181889,13,14
1589183776,17,14
1589185697,24,9
1589187900,10,9
1589189816,9,14
1589191956,38,9
