DateTime,AddedIPs,RemovedIPs
1588653182,0,2
1588656782,9,0
1588660382,0,1
1588663982,0,13
1588667582,1,0
1588671181,6,5
1588674782,3,0
1588678381,4,6
1588681982,3,0
1588685582,2,5
1588689181,0,5
1588692781,7,4
1588696382,1,0
1588699981,2,8
1588703581,2,0
1588707181,1,5
1588710782,3,8
1588714382,3,6
1588717982,1,0
1588721582,0,5
1588725182,2,7
1588728781,7,1
1588732382,2,0
1588735982,2,3
1588739582,2,0
1588743182,2,6
1588746781,2,5
1588750382,3,0
1588753981,5,5
1588757582,3,10
1588761181,0,3
1588764781,11,0
1588768382,0,2
1588771982,6,5
1588775582,4,6
1588779181,6,0
1588782781,0,2
1588786381,5,0
1588789981,4,6
1588793582,5,3
1588797181,4,0
1588800781,6,4
1588804381,2,5
1588807981,2,0
1588811581,4,5
1588815182,4,0
1588818781,3,5
1588822382,5,1
1588825981,6,5
1588829582,2,2
1588833181,3,5
1588836781,3,0
1588840382,5,4
1588843982,3,2
1588847581,1,9
1588851182,5,0
1588854781,6,2
1588861982,6,0
1588865581,0,6
1588869181,0,3
1588872782,3,3
1588876382,6,5
1588879981,1,6
1588883581,4,8
1588887182,0,1
1588890781,3,1
1588894382,7,5
1588897981,4,0
1588901581,4,10
1588905181,10,0
1588908782,1,2
1588912382,3,7
1588915981,3,4
1588919582,0,5
1588923182,4,0
1588926782,1,10
1588930381,6,0
1588933981,5,6
1588937582,5,3
1588941182,4,6
1588944782,4,3
1588948381,7,0
1588951982,3,0
1588955581,6,3
1588959181,3,4
1588962781,2,2
1588966381,1,5
1588969981,7,4
1588973581,3,2
1588977181,1,0
1588980782,4,2
1588984382,5,9
1588987981,4,0
1588991581,1,8
1588995181,2,1
1588998781,2,4
1589005982,6,0
1589009583,0,2
1589013181,5,2
1589016782,2,15
1589020381,0,1
1589023982,6,5
1589027582,3,0
1589031181,6,6
1589034781,0,3
1589038382,6,5
1589041982,3,1
1589045581,6,1
1589049181,3,6
1589052781,6,6
1589056381,2,3
1589059981,4,3
1589063581,7,1
1589067181,4,4
1589070781,1,3
1589074381,6,6
1589077982,5,2
1589081582,2,2
1589085182,3,0
1589088781,8,3
1589092382,1,3
1589095982,3,5
1589099582,3,0
1589103182,0,1
1589106781,3,0
1589110382,5,13
1589113982,1,4
1589117582,1,0
1589121181,2,5
1589124782,1,0
1589128381,2,11
1589131982,1,0
1589135582,2,3
1589139182,4,9
1589142782,6,3
1589146382,4,7
1589149981,2,5
1589153581,5,4
1589157181,1,4
1589160781,3,3
1589167981,1,5
1589171582,5,5
1589175182,3,4
1589178782,7,0
1589182382,5,2
1589185981,0,3
1589189581,3,0
